               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.03238,           0.0095499,           0.0033653,             0.92109,             0.92299,             0.95608,             0.59832,            0.027799,           0.0045606,           0.0031769,           0.0096634,           0.0096634,           0.0096634
                  36,            0.032082,            0.010551,           0.0035587,             0.93223,             0.87205,             0.93695,             0.59657,            0.028745,           0.0053253,           0.0041336,           0.0096535,           0.0096535,           0.0096535
                  37,            0.032794,            0.010264,           0.0038821,             0.92312,             0.86649,             0.93617,             0.63299,            0.028208,           0.0051444,           0.0055462,           0.0096436,           0.0096436,           0.0096436
                  38,            0.031519,           0.0089885,           0.0032184,             0.94473,             0.88341,             0.94539,             0.63455,            0.025813,           0.0048017,           0.0036913,           0.0096337,           0.0096337,           0.0096337
                  39,            0.031606,           0.0096738,           0.0039191,             0.90823,             0.91025,             0.94879,             0.62824,            0.027058,           0.0049807,           0.0037876,           0.0096238,           0.0096238,           0.0096238
                  40,            0.032394,           0.0098941,           0.0030778,             0.94643,             0.86793,              0.9439,              0.5642,            0.032608,           0.0051068,           0.0038049,           0.0096139,           0.0096139,           0.0096139
                  41,            0.029803,           0.0092703,            0.002618,             0.88396,             0.87497,             0.89741,             0.58228,            0.027799,           0.0054655,           0.0046045,            0.009604,            0.009604,            0.009604
                  42,            0.032009,           0.0096634,           0.0032427,             0.82551,             0.90437,             0.88292,             0.59585,            0.026065,           0.0054852,           0.0041955,           0.0095941,           0.0095941,           0.0095941
                  43,            0.030319,           0.0090841,            0.003557,             0.86963,             0.88688,             0.93653,             0.63892,             0.02784,           0.0055465,           0.0033638,           0.0095842,           0.0095842,           0.0095842
                  44,            0.031267,           0.0096543,           0.0030681,             0.86396,             0.85767,             0.91843,             0.60297,            0.027053,           0.0049874,            0.003553,           0.0095743,           0.0095743,           0.0095743
                  45,            0.029407,           0.0092959,            0.002624,             0.94152,             0.90301,             0.94557,              0.6748,            0.025494,           0.0050178,           0.0030644,           0.0095644,           0.0095644,           0.0095644
                  46,            0.030348,            0.010008,           0.0041621,             0.87592,             0.93357,             0.94445,             0.64078,            0.026758,           0.0052761,           0.0028633,           0.0095545,           0.0095545,           0.0095545
                  47,            0.027453,            0.010728,           0.0032342,              0.9122,             0.93773,             0.94621,             0.66476,            0.024318,           0.0051193,           0.0028053,           0.0095446,           0.0095446,           0.0095446
                  48,            0.031306,           0.0095415,           0.0029498,             0.89172,             0.89454,             0.92991,             0.63957,            0.024276,           0.0050647,           0.0030519,           0.0095347,           0.0095347,           0.0095347
                  49,            0.031065,           0.0085815,           0.0026876,             0.85674,             0.96401,             0.94566,             0.63443,            0.025637,           0.0050971,           0.0027153,           0.0095248,           0.0095248,           0.0095248
                  50,            0.028917,           0.0092009,           0.0024776,             0.89893,             0.87662,             0.93128,             0.65803,            0.027331,           0.0054342,           0.0035852,           0.0095149,           0.0095149,           0.0095149
                  51,            0.027793,           0.0089943,           0.0032234,              0.8756,             0.93886,             0.93435,             0.65024,            0.025984,           0.0049981,           0.0034789,            0.009505,            0.009505,            0.009505
                  52,            0.029051,           0.0098697,           0.0029283,             0.89077,             0.85291,             0.92071,             0.66987,            0.026425,           0.0053201,           0.0029843,           0.0094951,           0.0094951,           0.0094951
                  53,            0.027569,           0.0087901,           0.0030323,             0.89057,             0.92164,               0.934,             0.65782,            0.027125,           0.0047611,           0.0028471,           0.0094852,           0.0094852,           0.0094852
                  54,            0.028714,           0.0089315,           0.0035832,             0.89106,             0.88318,             0.94131,             0.64109,            0.025686,           0.0049559,            0.003288,           0.0094753,           0.0094753,           0.0094753
                  55,            0.027822,           0.0090049,           0.0033011,             0.94748,             0.92715,             0.96741,             0.68369,            0.023036,           0.0048422,           0.0023551,           0.0094654,           0.0094654,           0.0094654
                  56,            0.029117,           0.0098576,           0.0032491,             0.92866,             0.94182,             0.95715,             0.66306,            0.025495,           0.0048866,           0.0024214,           0.0094555,           0.0094555,           0.0094555
                  57,            0.028204,           0.0087109,           0.0022008,             0.93484,             0.92368,             0.95968,             0.69717,            0.023569,           0.0048048,           0.0024194,           0.0094456,           0.0094456,           0.0094456
                  58,            0.027586,             0.00953,           0.0023406,             0.92066,             0.90822,             0.93926,             0.65741,            0.027089,            0.005024,           0.0024288,           0.0094357,           0.0094357,           0.0094357
                  59,            0.028644,           0.0096795,           0.0033469,             0.93669,             0.93952,             0.95088,             0.68052,            0.024637,           0.0049901,           0.0021223,           0.0094258,           0.0094258,           0.0094258
                  60,            0.027462,           0.0092307,           0.0024321,             0.90655,              0.9012,              0.9334,             0.65725,            0.025413,           0.0048988,           0.0020075,           0.0094159,           0.0094159,           0.0094159
                  61,            0.026333,           0.0089374,           0.0027186,             0.87955,             0.93355,             0.95594,             0.68158,             0.02305,           0.0045372,           0.0021681,            0.009406,            0.009406,            0.009406
                  62,            0.027816,           0.0091682,           0.0028712,             0.92564,             0.88075,             0.95262,             0.65745,            0.028387,           0.0046185,           0.0024268,           0.0093961,           0.0093961,           0.0093961
                  63,             0.02702,           0.0090351,           0.0025305,             0.96591,             0.86908,               0.955,             0.69315,            0.024231,           0.0046953,           0.0024889,           0.0093862,           0.0093862,           0.0093862
                  64,            0.028093,           0.0097829,           0.0028063,              0.8923,              0.9378,             0.93285,             0.66693,            0.026257,           0.0049109,           0.0028491,           0.0093763,           0.0093763,           0.0093763
                  65,            0.026565,           0.0084878,           0.0028856,             0.95092,              0.8769,             0.95652,             0.69929,            0.026001,           0.0049472,            0.004351,           0.0093664,           0.0093664,           0.0093664
                  66,            0.027764,            0.010478,           0.0029515,             0.92723,             0.89592,             0.95288,             0.64454,             0.02431,            0.005248,           0.0030025,           0.0093565,           0.0093565,           0.0093565
                  67,            0.027825,           0.0092014,           0.0033415,             0.93278,             0.86805,             0.92097,              0.6651,             0.02328,            0.005252,           0.0033604,           0.0093466,           0.0093466,           0.0093466
                  68,              0.0281,           0.0086662,           0.0030513,             0.93124,             0.84683,             0.92725,             0.65891,            0.026474,           0.0052381,           0.0044884,           0.0093367,           0.0093367,           0.0093367
                  69,            0.026741,           0.0090364,           0.0032428,             0.94355,             0.90718,             0.95063,             0.70676,            0.022074,           0.0045621,           0.0030608,           0.0093268,           0.0093268,           0.0093268
                  70,            0.027561,           0.0087135,           0.0027152,             0.95174,             0.91003,             0.94868,             0.67476,            0.024227,           0.0050666,           0.0028634,           0.0093169,           0.0093169,           0.0093169
                  71,            0.027159,            0.008989,           0.0029178,             0.96922,             0.91461,             0.95793,             0.70763,            0.023747,           0.0045862,           0.0026688,            0.009307,            0.009307,            0.009307
                  72,            0.024942,           0.0093098,           0.0023526,             0.89217,             0.95537,             0.95621,             0.70353,            0.022141,           0.0047494,           0.0025145,           0.0092971,           0.0092971,           0.0092971
                  73,            0.027297,            0.009344,           0.0031544,             0.93573,             0.92702,             0.95837,             0.71551,            0.021441,           0.0044788,           0.0026261,           0.0092872,           0.0092872,           0.0092872
                  74,            0.027196,           0.0094055,           0.0022607,             0.90646,             0.93354,             0.95367,             0.71503,            0.020642,            0.004626,           0.0025887,           0.0092773,           0.0092773,           0.0092773
                  75,            0.025667,           0.0090091,            0.003023,             0.90729,              0.9338,             0.95687,             0.69933,            0.022492,           0.0048611,           0.0028313,           0.0092674,           0.0092674,           0.0092674
                  76,            0.026168,           0.0092662,           0.0032241,             0.92656,             0.96008,             0.96813,             0.68256,            0.024066,           0.0048209,           0.0023987,           0.0092575,           0.0092575,           0.0092575
                  77,            0.025121,           0.0088146,            0.003061,             0.92474,             0.90679,             0.95746,             0.67303,            0.022575,           0.0049961,           0.0025298,           0.0092476,           0.0092476,           0.0092476
                  78,            0.025942,           0.0087265,           0.0025221,             0.94874,             0.91109,             0.95927,             0.69616,            0.022859,           0.0048133,           0.0033056,           0.0092377,           0.0092377,           0.0092377
                  79,            0.027903,           0.0087288,           0.0023376,             0.94832,             0.92317,             0.95501,             0.69164,            0.023511,           0.0044739,           0.0032303,           0.0092278,           0.0092278,           0.0092278
                  80,             0.02839,           0.0084965,           0.0024757,             0.93316,             0.92606,             0.94309,             0.69937,             0.02327,           0.0046708,           0.0026481,           0.0092179,           0.0092179,           0.0092179
                  81,            0.026828,           0.0089693,           0.0026299,             0.95837,             0.88624,             0.94534,             0.72222,            0.022199,           0.0046673,            0.003519,            0.009208,            0.009208,            0.009208
                  82,            0.026099,           0.0087565,           0.0023614,             0.95425,             0.92394,             0.96159,             0.72598,             0.02148,           0.0045005,            0.002141,           0.0091981,           0.0091981,           0.0091981
                  83,             0.02476,           0.0080977,           0.0021333,             0.91965,             0.94453,             0.96651,             0.70736,            0.021683,           0.0041619,           0.0022472,           0.0091882,           0.0091882,           0.0091882
